Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
26026,2/23/22,Logan Health Medical Center,Electronic,Yes,2,Yes,,,,Yes,,
26025,2/23/22,Advantage Title & Escrow,Electronic,Yes,5,Yes,Yes,Yes,,Yes,,
26024,2/23/22,Women and Infants Hospital,Paper,Yes,2,Yes,,,,Yes,,
26023,2/23/22,Colonial Penn Life Insurance Company,Paper,Yes,3,Yes,,,,Yes,,
26022,2/23/22,"JPMorgan Chase Bank, N.A.",Electronic,Yes,1,Yes,,,,Yes,,
25915,2/23/22,"Creative Services, Inc.",Electronic,Yes,79943,Yes,Yes,Yes,,Yes,,
26036,2/24/22,"ShelterLogic Group Holdings, Inc.",Electronic,Yes,1,Yes,,,,Yes,,
26035,2/24/22,Adams Community Bank,Electronic,,1,,,,Yes,,,
26030,2/24/22,St. Marys Credit Union,Electronic,,1,,,,Yes,,,
26055,2/25/22,"American Express Travel Related Services Company, Inc.",Electronic,,1,,,,Yes,,,
26054,2/25/22,IFR Inc.,Electronic,Yes,1,Yes,,,Yes,Yes,,
26053,2/25/22,JDC Healthcare Management LLC,,Yes,84,Yes,,Yes,,Yes,,
26052,2/25/22,"Bond Street Mortgage, LLC",Electronic,,10,Yes,Yes,Yes,Yes,Yes,,
26051,2/25/22,"W.L. Gore & Associates, Inc.",Paper,,4,Yes,,,,Yes,,
26050,2/25/22,"American Express Travel Related Services Company, Inc.",Electronic,,41,,,,Yes,,,
26049,2/25/22,"Georgia Bone & Joint Surgeons, P.C.",Electronic,Yes,1,Yes,,Yes,,Yes,,
26048,2/25/22,"Vantage Builders, Inc.",Electronic,Yes,57,Yes,,,,Yes,,
26047,2/25/22,West Hartford Housing Authority,Paper,Yes,1,Yes,,,,Yes,,
26046,2/25/22,WINCHESTER SAVINGS BANK,Electronic,,6,,,,Yes,,,
26045,2/25/22,Bako Diagnostics,Electronic,,1,Yes,,,,Yes,,
26044,2/25/22,Communications Workers of America / CWA Local 1180,Electronic,,1,Yes,,,,Yes,,
26043,2/25/22,"Shutterfly, LLC",Electronic,Yes,678,Yes,Yes,,,Yes,,
26042,2/25/22,Lower LLC,Electronic,Yes,1358,Yes,,Yes,,Yes,,
26041,2/25/22,Pekin Insurance,Electronic,,110,,,Yes,,Yes,,
26040,2/25/22,St. Augustine College,Electronic,Yes,4,Yes,,,,Yes,,
26039,2/25/22,Dr. Douglas Morrow ODPC,Electronic,Yes,1,,,,,,,
26038,2/25/22,"Wells Fargo Advisors Financial Network, LLC",Electronic,Yes,5,,Yes,,,Yes,,
26037,2/25/22,"Consumers Supply Distributing, LLC",Electronic,Yes,2,Yes,Yes,,,Yes,,
26065,2/28/22,Gitterman Wealth Management,Electronic,Yes,91,Yes,Yes,,,Yes,,
26064,2/28/22,"Monongalia Health System, Inc.",Electronic,Yes,1,Yes,,,,Yes,,
26063,2/28/22,Port Resources,Electronic,Yes,49,Yes,,Yes,Yes,Yes,,
26062,2/28/22,Bristol Community College,Electronic,,497,Yes,,Yes,,Yes,,
26061,2/28/22,Mutual One Bank,Electronic,,1,,,,Yes,,,
26060,2/28/22,Mutual One Bank,Electronic,,1,,Yes,,,,,
26059,2/28/22,Mutual One Bank,Electronic,,1,,Yes,,,,,
26058,2/28/22,Weiss Zarett Brofman Sonnenklar & Levy P.C.,Electronic,Yes,2,Yes,,,,Yes,,
26057,2/28/22,SAVERS BANK,Electronic,,1,,,,Yes,,,
26056,2/28/22,SAVERS BANK,Electronic,,1,,,,Yes,,,
26077,3/1/22,Moseley Architects,Electronic,Yes,6,Yes,,,,Yes,,
26076,3/1/22,"LGAA, LLC",Electronic,Yes,6,Yes,,,,Yes,,
26067,3/1/22,St. Mary's Credit Union,Electronic,,1,,,,Yes,,,
26066,3/1/22,Haverhill Public Schools,Electronic,Yes,229,Yes,Yes,Yes,,Yes,,
25898,3/1/22,CLC Resort Management LLC,Electronic,Yes,4,Yes,,,,Yes,,
26082,3/2/22,"American Express Travel Related Services Company, Inc.",Electronic,,26,,,,Yes,,,
26081,3/2/22,"Expedia Group, Inc.",Electronic,Yes,12,,,,Yes,Yes,,
26080,3/2/22,First Guaranty Bank,Electronic,Yes,1,,Yes,,,,,
26079,3/2/22,"Wells Fargo Clearing Services, LLC",Electronic,Yes,2,Yes,Yes,,,Yes,,
26075,3/2/22,Watertown Savings Bank,Both,,1,,,,Yes,,,
26074,3/2/22,Adams Community Bank,Electronic,,1,,,,Yes,,,
26073,3/2/22,The Village Bank,Electronic,,1,,Yes,,,,,
26072,3/2/22,Shoes For Crews,Electronic,Yes,18,Yes,,,,Yes,,
26071,3/2/22,UMass Memorial Health,Electronic,Yes,4,Yes,,,,Yes,,
26070,3/2/22,Eastern Bank,Electronic,,144,Yes,,,Yes,,,
26069,3/2/22,"Citizens for Citizens, Inc.",Electronic,Yes,3,Yes,,Yes,,Yes,,
26095,3/3/22,Sourcemedia LLC DBA Arizent,Electronic,Yes,111,Yes,Yes,Yes,,Yes,,
26094,3/3/22,Savers Bank,Electronic,,1,,,,Yes,,,
26093,3/3/22,"Assured Relocation, Inc.",Electronic,Yes,7,Yes,,,,Yes,,
26092,3/3/22,Tom Lange Company Inc.,Electronic,Yes,14,Yes,,,,Yes,,
26091,3/3/22,"Ultimate Care, Inc",Electronic,Yes,16,Yes,Yes,,,Yes,,
26090,3/3/22,"JPMorgan Chase Bank, N.A.",Paper,,1,Yes,,Yes,,Yes,,
26086,3/3/22,LeMans Corporation,Electronic,Yes,1,Yes,,,,Yes,,
26085,3/3/22,"PBI-Gordon Companies, Inc.",Electronic,Yes,8,Yes,Yes,,,Yes,,
26084,3/3/22,Mutual One Bank,Electronic,,1,,,,Yes,,,
26083,3/3/22,Springfield Technical Community College,Electronic,Yes,,,,,,,,
26078,3/3/22,"American Express Travel Related Services Company, Inc.",Electronic,,79,,,,Yes,,,
26117,3/4/22,PracticeMax,Electronic,Yes,2040,Yes,,,,Yes,,
26116,3/4/22,Rosalind Franklin University Health Clinics,Electronic,,3,,,,Yes,Yes,,
26115,3/4/22,"Modjeski and Maters, Inc.",Electronic,Yes,1,Yes,,,,Yes,,
26089,3/4/22,"American Express Travel Related Services Company, Inc.",Electronic,,1,,,,Yes,,,
26088,3/4/22,Winchester Savings Bank,Electronic,,5,,,,Yes,,,
26087,3/4/22,Perrin Souvenir Distributors,Electronic,Yes,1,Yes,,,,Yes,,
26122,3/6/22,Walmart Inc.,Paper,,3,Yes,,,,Yes,,
26114,3/6/22,Bridgewater State University,Electronic,,248,Yes,,Yes,,Yes,,
26113,3/7/22,Dr. Day Care,Electronic,Yes,161,Yes,,Yes,,Yes,,
26112,3/7/22,Rockland Trust,Electronic,Yes,1,,Yes,,,Yes,,
26111,3/7/22,Rockland Trust,Electronic,Yes,1,,Yes,,,Yes,,
26110,3/7/22,Rockland Trust,Electronic,Yes,1,,Yes,,,Yes,,
26109,3/7/22,Rockland Trust,Paper,Yes,2,,Yes,,,Yes,,
26108,3/7/22,Homeschool Legal Defense Association,Electronic,Yes,7,Yes,Yes,Yes,,Yes,,
26107,3/7/22,Women and Infants Hospital,Paper,Yes,1,Yes,,,,Yes,,
26106,3/7/22,"Collegiate School, Inc.",Electronic,Yes,12,Yes,Yes,,,Yes,,
26105,3/7/22,Jackson National Life Insurance Company,Electronic,Yes,1,,Yes,,,,,
26104,3/7/22,"Mount Franklin Foods, LLC",Electronic,Yes,2,Yes,,,,Yes,,
26103,3/7/22,"American Express Travel Related Services Company, Inc.",Electronic,,8,,,,Yes,,,
26101,3/7/22,Kanuga Conference Center,Electronic,Yes,3,Yes,,,,Yes,,
26100,3/7/22,Main Street Bank,Electronic,,1,,Yes,,,,,
26099,3/7/22,Mutual One Bank,Electronic,,,,Yes,,,,,
26098,3/7/22,Mutual One Bank,Electronic,,1,,Yes,,,,,
26097,3/7/22,Mutual One Bank,Electronic,,1,,,,,,,
26096,3/7/22,Mutual One Bank,Electronic,,1,,Yes,,,,,
26125,3/8/22,Construction Specifications Institute,Electronic,Yes,1,Yes,,,Yes,Yes,,
26124,3/8/22,T-Mobile,Paper,Yes,1,,,,Yes,Yes,,
26123,3/8/22,Central Bank,Electronic,,8,Yes,Yes,,,Yes,,
26121,3/8/22,Porte Brown LLC,Electronic,,25,Yes,,,,Yes,,
26120,3/8/22,Santa Monica Seafood,Electronic,Yes,1,Yes,,,,Yes,,
26119,3/8/22,Norwood Clinic,Electronic,Yes,28,Yes,,Yes,,Yes,,
26118,3/8/22,Pulte Mortgage LLC,Electronic,Yes,3,Yes,,,,Yes,,
26129,3/9/22,Simmons University,Electronic,Yes,9,,Yes,,,,,
26127,3/9/22,McLaughlin Financial Consulting,Electronic,Yes,52,Yes,Yes,,,Yes,,
26126,3/9/22,Premier Needle Arts,Electronic,Yes,41,Yes,Yes,,Yes,Yes,,
26137,3/10/22,GreenSlate LLC,Electronic,,555,Yes,,,,Yes,,
26135,3/10/22,Ladenburg Thalmann Asset MGMT,Electronic,,1,,Yes,,,,,
26132,3/10/22,"Bridge Senior Living, LLC",Electronic,Yes,10,Yes,,Yes,,Yes,,
26131,3/10/22,IRA Financial Trust,Electronic,Yes,240,Yes,Yes,,,Yes,,
26130,3/10/22,Adams Community Bank,Electronic,,1,,,,Yes,,,
26128,3/10/22,Chantelle Group,Electronic,Yes,1,Yes,,,,Yes,,
26150,3/11/22,Douglass Financial Services,Electronic,Yes,2,,Yes,Yes,,Yes,,
26149,3/11/22,American Financial Resources Inc.,Electronic,Yes,3104,Yes,Yes,Yes,,Yes,,
26148,3/11/22,WINCHESTER SAVINGS BANK,Electronic,,5,,,,Yes,,,
26147,3/11/22,Sudler Property Management,Electronic,Yes,26,Yes,Yes,Yes,,,,
26144,3/11/22,"Bennett Partners Architecture Interiors Planning, Inc.",Electronic,Yes,1,Yes,,,,Yes,,
26143,3/11/22,First Home Mortgage Corporation,Electronic,Yes,58,Yes,Yes,Yes,Yes,Yes,,
26142,3/11/22,Mutual One Bank,Electronic,,1,,Yes,,,,,
26141,3/11/22,"Bonita Springs Utilities, Inc.",Electronic,,114,,Yes,,,Yes,,
26140,3/11/22,"Leuze, Inc.",Electronic,Yes,1,Yes,Yes,,,Yes,,
26139,3/11/22,Labette Health,Electronic,Yes,9,Yes,,,,Yes,,
26138,3/11/22,Beth Israel Deaconess Medical Center,Electronic,Yes,6,Yes,,,,Yes,,Yes
26136,3/11/22,Ritchie Bros. Auctioneers,Electronic,Yes,6,Yes,Yes,,,Yes,,
26134,3/11/22,Hanchett Paper Company d/b/a SHORR PAPER PACKAGING,Electronic,Yes,1,Yes,Yes,,,Yes,,
26133,3/11/22,"Bolton Global Capital, Inc.",Electronic,,1282,Yes,Yes,Yes,Yes,Yes,,
26146,3/12/22,Brass Enterprises Inc,Electronic,Yes,4,Yes,,,,Yes,,
26145,3/12/22,Woodloch Pines Resort,Electronic,Yes,1,,,,Yes,Yes,,
26161,3/14/22,"iBASIS, Inc.",Electronic,Yes,371,Yes,,,,Yes,,
26159,3/14/22,"Winterthur Museum, Garden & Library",Electronic,Yes,21,Yes,Yes,,,Yes,,
26158,3/14/22,Schlam Stone & Dolan LLP,Electronic,Yes,1,Yes,,,Yes,Yes,,
26157,3/14/22,Absolute Results Productions Ltd.,Electronic,Yes,1,Yes,Yes,Yes,,Yes,,
26156,3/14/22,Webster Five Cents Savings Bank,Electronic,,6,,,,Yes,,,
26155,3/14/22,Cultural Fabric LLC,Electronic,Yes,200,,,,Yes,Yes,,
26154,3/14/22,Guardian Life Insurance Company of America,Electronic,,8,Yes,,,,Yes,,
26153,3/14/22,Principal Life Insurance Company,Electronic,Yes,2,Yes,,,,Yes,,
26152,3/14/22,Dutton-Lainson Company,Electronic,,1,Yes,,,,Yes,,
26170,3/15/22,Pacific Life Insurance Company,Paper,,1,Yes,,,,Yes,,
26169,3/15/22,Duncan Regional Hospital,Electronic,,5,Yes,,,,Yes,,
26168,3/15/22,"Ziegler Metzger, LLP",Electronic,Yes,3,Yes,Yes,Yes,,Yes,,
26167,3/15/22,Mass General Brigham,Electronic,Yes,1,Yes,,,,Yes,,
26166,3/15/22,Mass General Brigham,Electronic,Yes,1,Yes,,,,Yes,,
26165,3/15/22,Mass General Brigham,Electronic,Yes,1,Yes,,,,Yes,,
26164,3/15/22,Mass General Brigham,Electronic,Yes,1,Yes,,,,Yes,,
26163,3/15/22,Rockland Trust,Electronic,Yes,1,,Yes,,,,,
26162,3/15/22,Holden International,Electronic,Yes,1,Yes,Yes,,Yes,Yes,,
26160,3/15/22,"Technology Business Research, Inc.",Electronic,Yes,76,Yes,,,,Yes,,
26181,3/16/22,Community Foundation of Western Massachusetts,Electronic,Yes,3,Yes,,Yes,,Yes,,
26180,3/16/22,"The Children¶s Place, Inc.",Electronic,Yes,9,Yes,,,,Yes,,
26179,3/16/22,"CorVel Enterprise Comp., Inc.",Electronic,Yes,1,Yes,,,,Yes,,
26178,3/16/22,"Dialyze Direct, LLC",Electronic,Yes,3,Yes,Yes,Yes,Yes,,,
26177,3/16/22,Sarku Japan,Electronic,Yes,1225,Yes,,,,Yes,,
26176,3/16/22,"Goldmark Property Management, Inc.",Electronic,Yes,1,Yes,Yes,,,Yes,,
26175,3/16/22,FM Expressions,Electronic,Yes,1,Yes,,,,Yes,,
26174,3/16/22,Eastern Bank,Electronic,,90,,,,Yes,,,
26173,3/16/22,Mutual One Bank,Electronic,,1,,,,Yes,,,
26172,3/16/22,Mutual One Bank,Electronic,,1,,,,Yes,,,
26171,3/16/22,Center for Health Information and Analysis,Electronic,,,Yes,,Yes,,Yes,,
26269,3/17/22,Vinfen,Electronic,Yes,2,Yes,Yes,Yes,,Yes,,
26190,3/17/22,"The Tax Consultants, Inc",Electronic,Yes,1,,Yes,,,Yes,,
26189,3/17/22,"American Express Travel Related Services Company, Inc.",Electronic,,5,,,,Yes,,,
26188,3/17/22,TBK Bank,Electronic,Yes,11,Yes,Yes,Yes,,Yes,,
26187,3/17/22,Dixie State University,Electronic,Yes,2,Yes,,Yes,,Yes,,
26186,3/17/22,"Medical Practice Solutions, Inc.",Electronic,Yes,3,Yes,,,,Yes,,
26184,3/17/22,"Brenda J. McGivern, P.C.",Electronic,Yes,559,Yes,Yes,Yes,,Yes,,
26183,3/17/22,South Shore Bank,Electronic,,1,,Yes,,,,,
26182,3/17/22,Mutual One Bank,Electronic,,1,,,,Yes,,,
26204,3/18/22,"Lakeview Loan Servicing, LLC",Electronic,Yes,45557,Yes,Yes,Yes,,Yes,,
26203,3/18/22,"LCS Westminster Partnership IV LLP, dba Sagewood",Electronic,Yes,1,,,,,Yes,,
26202,3/18/22,Ward Arcuri Foley & Dwyer Law Firm,Electronic,Yes,7,Yes,Yes,Yes,Yes,Yes,,
26201,3/18/22,Roy & Rurak,Electronic,Yes,1347,Yes,Yes,,,Yes,,
26200,3/18/22,Paradis Raymond & Jalbert,Electronic,Yes,100,Yes,Yes,,,Yes,,
26199,3/18/22,"Medaglia & Murphy, Inc.",Electronic,Yes,2232,Yes,Yes,,,Yes,,
26198,3/18/22,National Fire Protection Association,Electronic,Yes,957,Yes,Yes,Yes,Yes,Yes,,
26197,3/18/22,Adams Community Bank,Electronic,,1,,,,Yes,,,
26195,3/18/22,Mutual One Bank,Electronic,,1,,,,Yes,,,
26194,3/18/22,Mutual One Bank,Electronic,,1,,,,Yes,,,
26193,3/18/22,St. Mary's Credit Union,Electronic,,1,,,,Yes,,,
26192,3/18/22,"Wells Fargo Advisors Financial Network, LLC",Electronic,Yes,2,,Yes,,,Yes,,
26191,3/18/22,Adams Community Bank,Electronic,,1,,,,Yes,,,
26185,3/18/22,WINCHESTER SAVINGS BANK,Electronic,,1,,,,Yes,,,
26213,3/21/22,Bank of America,Paper,Yes,1,Yes,Yes,,,Yes,,
26212,3/21/22,White & Associates,Electronic,Yes,6,Yes,Yes,Yes,Yes,Yes,,
26211,3/21/22,Eichenbaum Comer & Ratynets AAC,Electronic,Yes,2,Yes,,,Yes,Yes,,
26210,3/21/22,"Sandpiper Rentals, Inc.",Electronic,Yes,6,Yes,,,,Yes,,
26209,3/21/22,The Commonwealth of Massachusetts Department of Revenue,Electronic,Yes,1,Yes,Yes,,,Yes,,
26208,3/21/22,Mutual One Bank,Electronic,,1,,,,Yes,,,
26207,3/21/22,St. Marys Credit Union,Electronic,,4,,,,Yes,,,
26206,3/21/22,Columbia Land Conservancy Inc.,Electronic,Yes,103,Yes,Yes,Yes,Yes,Yes,,
26205,3/21/22,The Village Bank,Electronic,,1,,Yes,,Yes,,,
26196,3/21/22,Morgan Stanley,Electronic,Yes,2,,Yes,,,Yes,,
26225,3/22/22,Stoneman Urgent Care Center,Electronic,Yes,1,,,,,Yes,,
26224,3/22/22,Cape Cod Hospital,Electronic,Yes,3,Yes,,,,Yes,,
26223,3/22/22,"Trinity Home Care, Inc.",Electronic,Yes,125,Yes,,Yes,,Yes,,
26222,3/22/22,Citadel Servicing Corporation dba Acra Lending,Electronic,Yes,10,Yes,,,,Yes,,
26221,3/22/22,The New York Teamsters Conference Pension and Retirement Fund,Electronic,,105,Yes,,,,Yes,,
26220,3/22/22,"AUTOPAY Direct, Inc.",Electronic,Yes,526,Yes,,Yes,,Yes,,
26219,3/22/22,Major League Baseball Players Benefit Plan,Electronic,,171,Yes,,,,Yes,,
26218,3/22/22,"Horizon Actuarial Services, LLC",Electronic,Yes,37986,Yes,Yes,,,Yes,,
26216,3/22/22,"Alacrity Solutions Group, LLC",Electronic,Yes,159,Yes,Yes,Yes,,Yes,,
26214,3/22/22,Lincoln Financial Advisors Corporation,Electronic,Yes,1,Yes,,,,Yes,,
26236,3/23/22,Fortress Biotech,Electronic,Yes,65,Yes,Yes,Yes,,Yes,,
26232,3/23/22,Certified Title Corporation,Electronic,,234,Yes,Yes,Yes,Yes,Yes,,
26231,3/23/22,The Caddo Parish District Attorney's Office,Electronic,Yes,41,Yes,Yes,Yes,Yes,Yes,,
26230,3/23/22,Community State Bank,Electronic,Yes,5,Yes,Yes,,,Yes,,
26229,3/23/22,Advanced Medical Practice Management,Electronic,Yes,23,Yes,Yes,Yes,Yes,Yes,,
26228,3/23/22,Massachusetts General Hospital,Electronic,Yes,1,Yes,,,,Yes,,
26227,3/23/22,"Leerburg Enterprises, Inc.",Electronic,Yes,494,,,,Yes,,,
26226,3/23/22,Dedham Savings,Electronic,Yes,1,Yes,Yes,,,Yes,,
26217,3/23/22,Local 295 IBT Employer Group Pension and Welfare Funds,Electronic,,6,Yes,,,,Yes,,
26215,3/23/22,Riverhead Central School District,Electronic,Yes,7,Yes,,,,Yes,,
26242,3/24/22,Nature Nate's Honey Co.,Paper,Yes,2,Yes,,,,Yes,,
26241,3/24/22,"23 City Blocks, LLC",Electronic,Yes,2,Yes,,,Yes,Yes,,
26240,3/24/22,"Citibank, N.A.",Electronic,Yes,6,Yes,Yes,,Yes,Yes,,
26239,3/24/22,"JPMorgan Chase Bank, N.A.",Paper,Yes,1,Yes,Yes,,Yes,Yes,,
26238,3/24/22,Fessenden Hall Inc.,Electronic,Yes,7,Yes,,,,Yes,,
26237,3/24/22,"The Bell Company, LLC",Electronic,Yes,6,Yes,,,,Yes,,
26235,3/24/22,Mutual One Bank,Paper,Yes,1,Yes,Yes,,,Yes,,
26234,3/24/22,Rockland Trust,Electronic,Yes,1,,Yes,,,Yes,,
26233,3/24/22,Superior Plus Corp.,Electronic,Yes,257,Yes,Yes,,,Yes,,
26253,3/25/22,"Christie Business Holdings Company, P.C.",Electronic,Yes,448,Yes,,,,Yes,,
26252,3/25/22,Cooledge Lighting Inc.,Electronic,Yes,19,Yes,,,,Yes,,
26251,3/25/22,"W&D Law, LLP",Electronic,Yes,2,Yes,Yes,Yes,Yes,Yes,,
26250,3/25/22,"Marten Transport, Ltd.",Electronic,Yes,92,Yes,,Yes,Yes,Yes,,
26249,3/25/22,"Wolff-ST, LLC d/b/a Marmi and Wolff Shoe",Electronic,Yes,205,,,,Yes,Yes,,
26248,3/25/22,Carlson Capital L.P.,Electronic,Yes,6,Yes,Yes,Yes,Yes,Yes,,
26243,3/25/22,Charles Schwab & Co. Inc.,Electronic,Yes,71,Yes,,Yes,,Yes,,
26247,3/26/22,"Super Care, Inc. dba SuperCare Health",Electronic,Yes,33,Yes,,,,Yes,,
26246,3/26/22,Empire Education Corporation d/b/a Mildred Elley,Electronic,Yes,164,Yes,,,,Yes,,
26245,3/27/22,"Cytometry Specialists, Inc. dba CSI Laboratories",Electronic,Yes,1,Yes,,,,Yes,,
26267,3/28/22,North Orange County Community College District,Electronic,Yes,8,Yes,Yes,Yes,,Yes,,
26266,3/28/22,Locks Law Firm,Electronic,Yes,7,Yes,,,,Yes,,
26265,3/28/22,Gleason Corporation,Electronic,Yes,1,Yes,,,,Yes,,
26261,3/28/22,Syracuse University,Electronic,Yes,235,Yes,Yes,,,Yes,,
26260,3/28/22,SAVERS BANK,Electronic,,1,,,,Yes,,,
26259,3/28/22,The Tranzonic Companies,Electronic,Yes,70,Yes,,,,Yes,,
26258,3/28/22,SAVERS BANK,Electronic,,1,,,,Yes,,,
26257,3/28/22,"Benefit Strategies, LLC",Electronic,Yes,12,Yes,Yes,,,Yes,,
26256,3/28/22,"Gerald O. Dry, P.A",Electronic,Yes,22,Yes,Yes,Yes,,Yes,,
26255,3/28/22,Resources for Human Development,Electronic,Yes,70,Yes,,,Yes,Yes,,Yes
26254,3/28/22,Klein Mirsky LLC,Electronic,Yes,3,Yes,,,,Yes,,
26244,3/28/22,WINCHESTER SAVINGS BANK,Electronic,,7,,,,Yes,,,
26276,3/29/22,Youth Consultation Service,Electronic,Yes,21,,Yes,,,,,
26275,3/29/22,Massachusetts Housing Investment Corporation (MHIC),Electronic,Yes,22805,Yes,Yes,Yes,,Yes,,
26268,3/29/22,Mutual One Bank,Electronic,,1,,,,Yes,,,
26264,3/29/22,CMG Mortgage Inc.,Electronic,Yes,6,Yes,Yes,Yes,,Yes,,
26263,3/29/22,"Ameriprise Financial, Inc.",Electronic,Yes,1,Yes,,,,Yes,,
26262,3/29/22,"American Express Travel Related Services Company, Inc.",Electronic,,29,,,,Yes,,,
26274,3/30/22,Capital Region Medical Center,Electronic,Yes,3,Yes,,Yes,,Yes,,
26273,3/30/22,Strongwell,Electronic,Yes,1,Yes,,,,Yes,,
26272,3/30/22,"Community Interactions, Inc.",Electronic,Yes,2,,Yes,,,Yes,,
26271,3/30/22,"Carvana, LLC",Electronic,Yes,1,,,Yes,,Yes,,
26294,3/31/22,"Blockchain Capital, LLC",Electronic,Yes,2,Yes,,,,Yes,,
26291,3/31/22,"Tangible Solutions, Inc.",Electronic,Yes,26,Yes,,,,Yes,,
26290,3/31/22,"SandRidge Energy, LLC",Electronic,Yes,1,Yes,,,,Yes,,
26289,3/31/22,"Rentex, Inc.",Electronic,Yes,218,Yes,,Yes,,Yes,,
26288,3/31/22,"Grandison Management, Inc. / Towne Homecare, LLC",Electronic,Yes,301,Yes,Yes,Yes,Yes,Yes,,
26270,3/31/22,Rockland Trust,Paper,Yes,2,,Yes,,,Yes,,
26287,4/1/22,Watertown Savings Bank,Electronic,,2,,,,Yes,,,
26286,4/1/22,"American Express Travel Related Services Company, Inc.",Electronic,,248,,,,Yes,,,
26285,4/1/22,WINCHESTER SAVINGS BANK,Electronic,,1,,,,Yes,,,
26284,4/1/22,New York Life Insurance Company,Paper,,2,Yes,Yes,,,Yes,,
26283,4/1/22,"Summit BHC West Virginia, LLC d/b/a Highland Hospital",Electronic,Yes,2,Yes,,,,Yes,,
26282,4/1/22,Goosmann Rose Colvard & Cramer PA,Electronic,Yes,4,Yes,Yes,Yes,,Yes,,
26281,4/1/22,HelmsBriscoe Performance Group Inc.,Electronic,Yes,7,Yes,Yes,,,Yes,,
26279,4/1/22,Mutual One Bank,Electronic,,1,,,,Yes,,,
26278,4/1/22,Mutual One Bank,Electronic,,1,,,,Yes,,,
26277,4/1/22,Mutual One Bank,Electronic,,1,,,,Yes,,,
26309,4/4/22,Berkshire Taconic Community Foundation,Electronic,Yes,2,,Yes,,,,,
26308,4/4/22,"BH Automotive, LLC",Electronic,Yes,6,Yes,,,,Yes,,
26307,4/4/22,Cash App Investing LLC,Electronic,,126211,,Yes,,,Yes,,
26298,4/4/22,The Village Bank,Electronic,,1,,,,Yes,,,
26297,4/4/22,The Village Bank,Electronic,,1,,,,Yes,,,
26296,4/4/22,Altoona Area School District,Electronic,Yes,4,Yes,Yes,,,Yes,,
26295,4/4/22,Adams Community Bank,Electronic,,2,,,,Yes,,,
26293,4/4/22,Main Street Bank,Electronic,,1,,,,Yes,,,
26292,4/4/22,Mutual One Bank,Electronic,,1,,,,Yes,,,
26280,4/4/22,St. Marys Credit Union,Electronic,,1,,,,Yes,,,
26508,4/5/22,El Monte RV Rental and Sales,Electronic,Yes,247,,Yes,Yes,Yes,Yes,,
26306,4/5/22,St. Mary's Credit Union,Electronic,,4,,,,Yes,,,
26305,4/5/22,River City Insurance Group d/b/a Lavinder Group & Associates,Electronic,Yes,1,Yes,Yes,Yes,Yes,Yes,,
26304,4/5/22,The Village Bank,Electronic,,,,,,,,,
26303,4/5/22,HDI Global Insurance Company,Electronic,,1,,Yes,,,,,
26302,4/5/22,Whitefish School District,Electronic,Yes,2,Yes,,,,Yes,,
26301,4/5/22,"Carroll Land Services, Inc.",Electronic,Yes,1,Yes,,,,Yes,,
26300,4/5/22,NHS Management LLC,Electronic,Yes,16,Yes,Yes,Yes,,Yes,,
26327,4/6/22,"EYP, Inc.",Electronic,Yes,45,Yes,Yes,,,Yes,,
26316,4/6/22,"JPMorgan Chase Bank, N.A.",Electronic,Yes,1,,Yes,,,,,
26315,4/6/22,"DialAmerica Marketing, Inc.",Electronic,Yes,452,,Yes,,,Yes,,
26314,4/6/22,"ebm-papst, Inc.",Electronic,Yes,8,Yes,,Yes,,Yes,,
26312,4/6/22,Advantage Benefits Group,Electronic,Yes,7,Yes,,Yes,,Yes,,
26311,4/6/22,Siena Analytics,Electronic,Yes,2,,Yes,,,,,
26310,4/6/22,Pride Tree Holidings,Electronic,,3,Yes,,,,Yes,,
26299,4/6/22,Rockland Trust,Electronic,Yes,3,,Yes,,,,,
26326,4/7/22,Northern Savings Credit Union,Electronic,Yes,1,Yes,Yes,Yes,Yes,Yes,,
26325,4/7/22,Bishop Eye Center,Electronic,Yes,1,Yes,,,,Yes,,
26324,4/7/22,"Herman J Price, CPA AC",Electronic,Yes,1,Yes,Yes,Yes,,Yes,,
26320,4/7/22,Cape Cod Five,Electronic,,1,Yes,,,,Yes,,
26319,4/7/22,IMCO General Construction,Electronic,Yes,1,Yes,Yes,,,Yes,,
26318,4/7/22,"Ameriprise Financial, Inc.",Paper,,1,Yes,Yes,,,Yes,,
26317,4/7/22,"Pingora Loan Servicing, LLC",Electronic,Yes,21218,Yes,Yes,Yes,,Yes,,
26313,4/7/22,Prio Wealth LP,Electronic,,529,,Yes,,,,,
26339,4/8/22,Signature Healthcare Corporation,Electronic,Yes,10,Yes,,Yes,,Yes,,
26338,4/8/22,Rhode Island Resource Recovery Corporation,Electronic,,20,Yes,,Yes,,Yes,,
26337,4/8/22,"Allen & Major Associates, Inc.",Electronic,Yes,3,Yes,,,,Yes,,
26336,4/8/22,Cannabis Control Commission,Electronic,,2016,Yes,Yes,Yes,,Yes,,
26335,4/8/22,Monogram Capital Partners,Electronic,Yes,4,Yes,Yes,,,Yes,,
26334,4/8/22,Cartegraph,Electronic,Yes,1,Yes,,,,Yes,,
26333,4/8/22,"American Express Travel Related Services Company, Inc.",Electronic,,62,,,,Yes,,,
