Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen,,,
29104,2/27/2023,Bank of America,Electronic,Yes,2,Yes,Yes,Yes,Yes,Yes,,,,,
29105,2/27/2023,Bank of America,Paper,Yes,2,Yes,,,,,,,,,
29106,2/27/2023,"Elevate Services, Inc.",Electronic,Yes,43,Yes,Yes,Yes,,Yes,,,,,
29107,2/27/2023,"Clarity Water Technologies, LLC",Electronic,Yes,2,Yes,,,,Yes,,,,,
29108,2/27/2023,Jackson National Life Insurance Company,Paper,Yes,1,,Yes,,,,,,,,
29109,2/28/2023,New York Life Insurance Company,Electronic,,1,Yes,Yes,Yes,,Yes,,,,,
29110,2/28/2023,Hatch Bank,Electronic,,1759,Yes,,,,Yes,,,,,
29111,2/28/2023,Berkshire Farm Center & Services for Youth,Electronic,Yes,407,,Yes,,,Yes,,,,,
29112,2/28/2023,"New Enchantment Group, LLC",Electronic,Yes,15,Yes,Yes,,,Yes,,,,,
29113,2/28/2023,MC Group Ventures Corporation,Electronic,Yes,3,Yes,,,,Yes,,,,,
29115,2/28/2023,"Jackson O¶Keefe, LLP",Electronic,Yes,11,Yes,Yes,,,Yes,,,,,
29117,2/28/2023,Atallah Group Inc.,Electronic,Yes,3,Yes,Yes,Yes,,Yes,,,,,
29118,2/28/2023,"Veris Residential, Inc.",Electronic,Yes,10,Yes,Yes,Yes,,Yes,,,,,
29119,3/1/2023,"Ameriprise Financial, Inc.",Paper,,1,Yes,Yes,,,Yes,,,,,
29120,3/1/2023,"Wells Fargo Advisors Financial Network, LLC",Paper,Yes,1,,Yes,,,Yes,,,,,
29121,3/1/2023,National Aviation Academy,Electronic,Yes,1,Yes,,Yes,,Yes,,,,,
29122,3/1/2023,Mutual One Bank,Electronic,,2,,,,Yes,,,,,,
29123,3/1/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29124,3/1/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29125,3/1/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29126,3/1/2023,Main Street Bank,Electronic,,1,,,,Yes,,,,,,
29127,3/1/2023,Main Street Bank,Electronic,,1,,,,Yes,,,,,,
29128,3/1/2023,Oregon Academy of General Dentistry,Electronic,Yes,1,Yes,,,,Yes,,,,,
29129,3/1/2023,The Village Bank,Electronic,,2,,,,Yes,,,,,,
29116,3/1/2023,Cape Cod Five,Electronic,Yes,2,,Yes,,,,,,,,
29133,3/1/2023,College of the Desert,Electronic,Yes,1,Yes,,,,Yes,,,,,
29134,3/1/2023,Lincoln Families,Electronic,Yes,4,Yes,Yes,,,Yes,,,,,
29114,3/1/2023,Cape Cod Five,Paper,Yes,1,,Yes,,,,,,,,
29140,3/2/2023,Cineplex Entertainment LP,Electronic,,16,Yes,Yes,,,Yes,,,,,
29141,3/2/2023,"A10 Networks, Inc.",Electronic,Yes,2,Yes,Yes,Yes,,Yes,,,,,
29135,3/2/2023,"Chick-fil-A, Inc.",Electronic,Yes,524,,,,Yes,,,,,,
29136,3/2/2023,Baystate Medical Center,Electronic,Yes,1,,,Yes,,Yes,,,,,
29137,3/2/2023,Vocality Community Credit Union,Electronic,Yes,11,Yes,Yes,Yes,,Yes,,,,,
29130,3/2/2023,Advanced Health Media,Electronic,Yes,688,Yes,,Yes,,Yes,,,,,
29131,3/2/2023,Rockland Trust,Electronic,Yes,2,,Yes,,,Yes,,,,,
29132,3/2/2023,Fitchburg State university,Electronic,Yes,41,Yes,,,,Yes,,,,,
29138,3/3/2023,"Mothers Milk Bank of Florida, Inc.",Electronic,,1,,,,,Yes,,,,,
29139,3/3/2023,MassMutual Federal Credit Union,Electronic,Yes,2179,Yes,Yes,,,Yes,,,,,
29142,3/3/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29143,3/3/2023,The Village Bank,Electronic,,15,,,,Yes,,,,,,
29144,3/3/2023,"Precision Medical, Inc.",Electronic,Yes,2,Yes,Yes,,,Yes,,,,,
29145,3/3/2023,Watertown Savings Bank,Electronic,,2,,,,Yes,,,,,,
29146,3/3/2023,Exponential Interactive d/b/a VDX.tv,Electronic,Yes,3,Yes,,,,Yes,,,,,
29147,3/3/2023,Cambridge Trust Company,Electronic,Yes,2,,Yes,,,,,,,,
29148,3/3/2023,"Wichita Urology Group, PA",Electronic,Yes,1,,,,Yes,,,,,,
29149,3/6/2023,Adams Community Bank,Electronic,,1,,,,Yes,,,,,,
29150,3/6/2023,"Fleming, Nolen & Jez, LLP",Electronic,Yes,142,Yes,,Yes,,Yes,,,,,
29151,3/6/2023,"Squishable.com, Inc.",Electronic,Yes,479,,,,Yes,,,,,,
29152,3/6/2023,"Style Crest Enterprises, Inc.",Electronic,Yes,3,Yes,Yes,Yes,,Yes,,,,,
29153,3/6/2023,The Village Bank,Electronic,,1,,,,Yes,,,,,,
29154,3/6/2023,"Arena 3D Holdings, Inc. and its subsidiary, Dancker Sellew & Douglas",Electronic,Yes,1,Yes,Yes,,,Yes,,,,,
29155,3/6/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29156,3/6/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29157,3/6/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29158,3/6/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29159,3/6/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29160,3/6/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29715,3/6/2023,Brigham and Women's Hospital,Electronic,Yes,1,,,,,,,,,,
29161,3/8/2023,"Nor-Cal Beverage Co., Inc.",Electronic,Yes,1,Yes,,,,Yes,,,,,
29162,3/8/2023,TD Bank N.A.,Electronic,Yes,2,Yes,Yes,,Yes,Yes,,,,,
29163,3/8/2023,Spaulding McCullough & Tansil LLP,Electronic,Yes,4,Yes,Yes,Yes,,Yes,,,,,
29164,3/8/2023,Assumption University,Electronic,Yes,1,Yes,Yes,,,Yes,,,,,
29165,3/8/2023,New Glarus School District,Electronic,Yes,2,Yes,,,,Yes,,,,,
29176,3/8/2023,"Erickson Demel & Associates, PLLC",Electronic,Yes,4,Yes,Yes,,,Yes,,,,,
29177,3/8/2023,Benefit Link LLC,Electronic,Yes,22,Yes,Yes,,,Yes,,,,,
29178,3/8/2023,Cambridge Trust Company,Electronic,Yes,2,,Yes,,,,,,,,
29179,3/8/2023,Labette Community College,Electronic,Yes,1,Yes,,,,Yes,,,,,
29180,3/9/2023,Lasell University,Electronic,Yes,3,Yes,,,,Yes,,,,,
29181,3/9/2023,Trinity Health Corporation,Electronic,Yes,42925,,,,,Yes,,,,,
29183,3/9/2023,"American Express Travel Related Services Company, Inc.",Electronic,,14,,,,Yes,,,,,,
29184,3/9/2023,Broadband Access Services,Electronic,,73,Yes,Yes,,,Yes,,,,,
29166,3/9/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29167,3/9/2023,1st Franklin Financial Corporation,Electronic,Yes,136,Yes,Yes,,,Yes,,,,,
29168,3/9/2023,Kiefer Aquatics,Electronic,Yes,394,,,,Yes,Yes,,,,,
29169,3/9/2023,"American Independent Securities Group, LLC",Electronic,Yes,1,Yes,,Yes,,Yes,,,,,
29170,3/9/2023,Massachusetts General Hospital,Paper,Yes,1,,Yes,,,,,,,,
29171,3/9/2023,Massachusetts General Hospital,Electronic,Yes,1,,Yes,,,,,,,,
29172,3/9/2023,"American Express Travel Related Services Company, Inc.",Electronic,,63,,,,Yes,,,,,,
29173,3/9/2023,"American Express Travel Related Services Company, Inc.",Electronic,,2,,,,Yes,,,,,,
29174,3/9/2023,Rockland Trust,Paper,Yes,1,,Yes,,Yes,Yes,,,,,
29175,3/9/2023,City of Malden,Electronic,Yes,700,Yes,,,,Yes,,,,,
29185,3/10/2023,TransUnion LLC,Electronic,Yes,5,Yes,,,,Yes,,,,,
29186,3/10/2023,"American Express Travel Related Services Company, Inc.",Electronic,,3,,,,Yes,,,,,,
29187,3/10/2023,Enterprise Bank,Electronic,Yes,2,Yes,Yes,Yes,,Yes,,,,,
29188,3/10/2023,"Woodhaven Lumber & Millwork, Inc.",Electronic,Yes,3,Yes,,,,Yes,,,,,
29194,3/10/2023,ZOLL Medical Corporation,Electronic,Yes,3126,Yes,Yes,Yes,,Yes,,,,,
29195,3/10/2023,Rentschler Biopharma Inc.,Electronic,Yes,16,,Yes,,,,,,,,
29182,3/10/2023,WINCHESTER SAVINGS BANK,Electronic,,25,,,,Yes,,,,,,
29336,3/10/2023,"NY Creates, SUNY Poly, and the Research Foundation for the State of New York",Electronic,Yes,33,Yes,Yes,Yes,Yes,Yes,,,,,
29193,3/11/2023,SOMACIS Inc.,Electronic,Yes,3,Yes,,,,Yes,,,,,
29189,3/12/2023,Dotcom Distribution,Electronic,Yes,3,Yes,,Yes,,Yes,,,,,
29190,3/12/2023,"Topspin Partners, L.P.",Electronic,Yes,3,Yes,,,,Yes,,,,,
29191,3/13/2023,Mass General Brigham,Electronic,Yes,1,,,,,,,,,,
29192,3/13/2023,Cannabis Control Commission,Electronic,Yes,16000,,,Yes,,,,,,,
29196,3/13/2023,"American Express Travel Related Services Company, Inc.",Electronic,,12,,,,Yes,,,,,,
29197,3/13/2023,"American Express Travel Related Services Company, Inc.",Electronic,,1,,,,Yes,,,,,,
29199,3/13/2023,"Nonstop Administration and Insurance Services, Inc.",Electronic,Yes,2,Yes,,,,Yes,,,,,
29200,3/13/2023,"Local Marketing Solutions Group, Inc. parent company of MoneyMailerUSA, Inc.",Electronic,Yes,15,Yes,Yes,,,Yes,,,,,
29239,3/13/2023,Burns & Levinson LLP,Electronic,Yes,46,Yes,Yes,,,Yes,,,,,
29386,3/13/2023,Rockland Trust,Paper,Yes,1,Yes,Yes,,,,,,,,
29201,3/14/2023,"American Express Travel Related Services Company, Inc.",Electronic,,2,,,,Yes,,,,,,
29202,3/14/2023,Capital One,Electronic,,1,,,,Yes,Yes,,,,,
29203,3/14/2023,"Independent Living Systems, LLC",Electronic,Yes,354,Yes,Yes,Yes,,Yes,,,,,
29204,3/14/2023,The Olympic Club,Electronic,Yes,2,Yes,,,,Yes,,,,,
29198,3/14/2023,Raymond James Financial,Paper,Yes,6,,Yes,,,Yes,,,,,
29206,3/14/2023,NorthStar Emergency Medical Services,Electronic,Yes,12,Yes,,,,Yes,,,,,
29207,3/14/2023,Art Center Inc. dba Northwest College of Art & Design,Electronic,Yes,1,Yes,Yes,Yes,,Yes,,Yes,,,
29208,3/14/2023,"Voya Financial Advisors, Inc.",Electronic,Yes,35,Yes,,,,Yes,,,,,
29209,3/14/2023,Inland Technologies Holdings Inc.,Electronic,Yes,17,Yes,,,,Yes,,,,,
29210,3/14/2023,Merritt Healthcare Advisors,Electronic,Yes,4,,Yes,,,,,,,,
29211,3/14/2023,Newcourse Communications,Electronic,Yes,6,,Yes,,,Yes,,,,,
29212,3/14/2023,James Billman-Golemme,Electronic,Yes,158,Yes,,Yes,Yes,Yes,,,,,
29213,3/14/2023,Point32Health - Harvard Pilgrim Health Care,Paper,Yes,2,Yes,,,,Yes,,,,,
29214,3/14/2023,Allstate Insurance Company,Electronic,Yes,144,,Yes,,,Yes,,,,,
29215,3/15/2023,"Eastern Research Group, Inc.",Paper,Yes,8,Yes,,,,Yes,,,,,
29205,3/15/2023,"American Express Travel Related Services Company, Inc.",Electronic,,2,,,,Yes,,,,,,
29228,3/15/2023,Webster Five Cents Savings Bank,Electronic,,6,,,,Yes,,,,,,
29236,3/15/2023,PFS Investments Inc.,Paper,Yes,15,Yes,,,,Yes,,,,,
29237,3/15/2023,Health Plans Inc.,Electronic,Yes,1,Yes,Yes,,,Yes,,,,,
29238,3/15/2023,Webster Five Cents Savings Bank,Electronic,,6,,,,Yes,,,,,,
29234,3/16/2023,Rockland Trust,Paper,Yes,1,Yes,Yes,,,Yes,,,,,
29235,3/16/2023,Rockland Trust,Paper,Yes,1,,Yes,,,,,,,,
29224,3/16/2023,School District of Elmbrook,Electronic,Yes,2,Yes,,,,Yes,,,,,
29225,3/16/2023,"Dee Zee, Inc.",Electronic,Yes,1,Yes,,,,Yes,,,,,
29226,3/16/2023,Happy State Bank,Electronic,Yes,6,Yes,Yes,,,Yes,,,,,
29227,3/16/2023,Brigham and Women's Hospital,Electronic,Yes,1,Yes,,,,Yes,,,,,
29216,3/16/2023,Mass General Brigham,Paper,Yes,1,,Yes,,,,,,,,
29217,3/16/2023,Mass General Brigham,Electronic,Yes,1,Yes,,,,Yes,,,,,
29218,3/16/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29219,3/16/2023,"AllCare Plus Pharmacy, Inc.",Electronic,Yes,539,Yes,Yes,Yes,,Yes,,,,,
29220,3/17/2023,The M K Morse Company,Electronic,Yes,7,Yes,,Yes,,Yes,,,,,
29221,3/17/2023,Getaroom.com,Electronic,,1,,,,Yes,,,,,,
29222,3/17/2023,Devereux Advanced Behavioral Health - Therapeutic Foster Care Center,Paper,Yes,1,,,Yes,,,,,,,
29223,3/17/2023,"Convergent Outsourcing, Inc.",Electronic,Yes,13878,Yes,Yes,,,Yes,,,,,
29231,3/17/2023,"Mattson Technology, Inc.",Electronic,Yes,11,Yes,Yes,,,Yes,,,,,
29232,3/17/2023,"Richard T. Miller, DMD, PC, dba Great Neck/Mid Island Dental",Electronic,Yes,19,Yes,,Yes,,Yes,,,,,
29233,3/17/2023,George Delallo Company,Electronic,Yes,5,Yes,Yes,Yes,Yes,Yes,,,,,
29240,3/17/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29241,3/17/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29242,3/17/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29243,3/17/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29476,3/17/2023,Eastern Bank,Electronic,,153,,Yes,,Yes,,,,,,
29335,3/20/2023,Summit Consolidated Group,Electronic,Yes,19,,Yes,,,,,,,,
29244,3/20/2023,Ariana Murrell d/b/a Liberty Tax Service,Both,,4000,Yes,Yes,Yes,Yes,,,,,,
29245,3/20/2023,"Vitra Health, Inc.",Electronic,Yes,15,Yes,,Yes,,,,,,,
29246,3/20/2023,"Wells Fargo Bank, N.A.",Paper,,1,,,,Yes,Yes,,,,,
29229,3/20/2023,"Haworth, Inc.",Electronic,,6,Yes,,,,Yes,,,,,
29230,3/20/2023,"JPMorgan Chase Bank, N.A.",Electronic,Yes,1,,Yes,,,,,,,,
29252,3/20/2023,Robert Derector Associates,Electronic,Yes,1,Yes,,Yes,,Yes,,,,,
29253,3/20/2023,"Bone & Joint Clinic, S.C.",Electronic,Yes,10,Yes,,Yes,,Yes,,,,,
29250,3/20/2023,Sunland Asphalt and Construction LLC,Electronic,Yes,1,,,Yes,,Yes,,,,,
29251,3/21/2023,"PLM Fleet, LLC",Electronic,Yes,8,Yes,,,,Yes,,,,,
29254,3/21/2023,"American Express Travel Related Services Company, Inc.",Electronic,,5,,,,Yes,,,,,,
29257,3/21/2023,WestExec Advisors LLC,Electronic,,2,Yes,Yes,,,Yes,,,,,
29258,3/21/2023,Capital One,Paper,,10,,Yes,,,Yes,,,,,
29259,3/21/2023,Winchester Savings Bank,Electronic,,7,,,,Yes,,,,,,
29260,3/21/2023,"Manning Building Supplies, Inc.",Electronic,,1,Yes,Yes,Yes,,Yes,,,,,
29261,3/21/2023,MIT Lincoln Laboratory,Paper,,2,Yes,,Yes,,Yes,,,,,
29247,3/21/2023,"American Express Travel Related Services Company, Inc.",Electronic,Yes,5,,,,Yes,,,,,,
29248,3/21/2023,"Tobin & Sons Moving & Storage, Inc.",Electronic,Yes,73,Yes,Yes,Yes,Yes,Yes,,,,,
29262,3/22/2023,Adams Community Bank,Electronic,,1,,,,Yes,,,,,,
29263,3/22/2023,Los Angeles Business Journal,Electronic,Yes,1,,,Yes,,Yes,,,,,
29264,3/22/2023,Salem Five Cents Savings Bank,Electronic,,4,,,,Yes,,,,,,
29265,3/22/2023,US Wellness Inc.,Electronic,,11,Yes,,,,Yes,,,,,
29266,3/22/2023,Johns Hopkins Federal Credit Union,Electronic,,1,,,,Yes,,,,,,
29255,3/22/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29256,3/22/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29268,3/23/2023,Rockland Trust,Electronic,,1,,Yes,,,Yes,,,,,
29269,3/23/2023,Rockland Trust,Paper,,1,,Yes,,,Yes,,,,,
29270,3/23/2023,Atlantic Dialysis Management Services,Electronic,Yes,9,Yes,,,,Yes,,,,,
29271,3/23/2023,"American Express Travel Related Services Company, Inc.",Electronic,,6,,,,Yes,,,,,,
29272,3/23/2023,"Guidecraft, Inc.",Electronic,Yes,487,,,,Yes,,,,,,
29273,3/23/2023,University of Massachusetts Amherst,Electronic,Yes,47,Yes,Yes,,Yes,Yes,,,,,
29274,3/23/2023,SAVERS BANK,Electronic,,4,,,,Yes,,,,,,
29275,3/23/2023,"American Express Travel Related Services Company, Inc.",Electronic,,33,,,,Yes,,,,,,
29276,3/23/2023,Helping Hands Hawaii,Electronic,Yes,3,Yes,Yes,,,Yes,,,,,
29277,3/23/2023,Brigham and Women's Hospital,Both,Yes,1,,,,,,,,,,
29278,3/23/2023,Rockland Trust,Paper,Yes,1,,Yes,,,Yes,,,,,
29279,3/24/2023,The Brien Center for Mental Health and Substance Abuse Services,Paper,Yes,1,Yes,,,,Yes,,,,,
29280,3/24/2023,"American Express Travel Related Services Company, Inc.",Paper,,4,,,,Yes,,,,,,
29281,3/24/2023,Trussbilt LLC,Electronic,Yes,1,Yes,Yes,Yes,Yes,Yes,,,,,
29282,3/24/2023,Atlantic General Hospital,Electronic,Yes,169,Yes,Yes,,,Yes,,,,,
29283,3/24/2023,"Goodwill Industries of the Southern Piedmont, Inc.",Electronic,Yes,28,Yes,Yes,Yes,Yes,Yes,,,,,
29284,3/24/2023,Ultralife Corporation,Electronic,Yes,5,Yes,,,,Yes,,,,,
29285,3/24/2023,"Bank of America, N.A.",Electronic,,15996,Yes,Yes,Yes,Yes,Yes,,,,,
29286,3/24/2023,Kaycan Group of Companies,Electronic,Yes,17,Yes,Yes,,Yes,Yes,,,,,
29287,3/26/2023,"Gravie, Inc.",Electronic,Yes,1,,,,,,,,,,
29288,3/27/2023,"Wells Fargo Clearing Services, LLC",Electronic,Yes,3,,Yes,,,Yes,,,,,
29289,3/27/2023,"CRC Companies, LLC and related companies",Electronic,Yes,3,Yes,Yes,,,Yes,,,,,
29290,3/27/2023,Bright Horizons Family Solutions Inc.,Electronic,Yes,44,Yes,,,,Yes,,,,,
29291,3/27/2023,"Silver Hill Hospital, Inc.",Electronic,Yes,1,,,,,,,,,,
29267,3/27/2023,"Moody National Companies, LP",Electronic,Yes,14,Yes,,,,Yes,,,,,
29292,3/28/2023,"American Express Travel Related Services Company, Inc.",Electronic,,1,,,,Yes,,,,,,
29293,3/28/2023,The Burton Corporation,Electronic,Yes,169,Yes,Yes,Yes,,Yes,,,,,
29294,3/28/2023,Untracht Early LLC,Electronic,,2,Yes,,,,Yes,,,,,
29295,3/28/2023,"Ameriprise Financial, Inc.",Paper,,1,Yes,Yes,,,Yes,,,,,
29296,3/28/2023,The Arc of Essex County,Electronic,Yes,2,Yes,Yes,Yes,,Yes,,,,,
29297,3/28/2023,St. Mary's Credit Union,Electronic,,2,,,,Yes,,,,,,
29298,3/28/2023,Ascensus Specialties,Electronic,Yes,244,Yes,Yes,Yes,,Yes,,,,,
29299,3/28/2023,"Duplicator Sales & Service, Inc.",Electronic,Yes,1,Yes,,,,Yes,,,,,
29301,3/29/2023,Salem Five Cents Savings Bank,Electronic,,4,,,,Yes,,,,,,
29304,3/29/2023,"GrapheneDx, Inc.",Electronic,Yes,21,Yes,,,,,,,,,
29305,3/29/2023,Fora Financial LLC,Electronic,Yes,34,Yes,,,,Yes,,,,,
29306,3/30/2023,"Nonstop Insurance Services, Inc.",Electronic,Yes,1,Yes,,,,Yes,,,,,
29307,3/30/2023,"Svanaco, Inc. dba Americaneagle.com",Electronic,Yes,1728,,,,Yes,,,,,,
29308,3/30/2023,Ara Haddadian CPA,Paper,Yes,4,Yes,Yes,Yes,,Yes,,Yes,,,
29309,3/30/2023,Hamilton Parker,Electronic,Yes,1,Yes,Yes,,,Yes,,,,,
29310,3/30/2023,BlueLion LLC,Electronic,Yes,12,Yes,,,,Yes,,,,,
29311,3/30/2023,AudienceView Ticketing Corporation,Electronic,Yes,370,,,,Yes,Yes,,,,,
29312,3/30/2023,"Kline and Specter, P.C.",Electronic,Yes,589,Yes,,,,Yes,,,,,
29313,3/30/2023,"TMX Finance Corporate Services, Inc.",Electronic,Yes,238,Yes,Yes,Yes,,Yes,,,,,
29314,3/30/2023,"Chinook Asia, LLC",Electronic,Yes,2,,Yes,,,Yes,,,,,
29302,3/30/2023,Adams Community Bank,Electronic,,2,,,,Yes,,,,,,
29303,3/30/2023,Rockland Trust,Paper,Yes,1,,Yes,,,Yes,,,,,
29332,3/31/2023,"Shenkman Capital Management, Inc.",Paper,,1,Yes,,,,Yes,,,,,
29333,3/31/2023,Jackson National Life Insurance Company,Paper,Yes,2,Yes,Yes,,,Yes,,,,,
29334,3/31/2023,WINCHESTER SAVINGS BANK,Electronic,,13,,,,Yes,,,,,,
29316,3/31/2023,"JPMorgan Chase Bank, N.A.",Electronic,Yes,1,,Yes,,,,,,,,
29317,3/31/2023,"Nonstop Administration and Insurance Services, Inc.",Electronic,Yes,4,Yes,,,,Yes,,,,,
29318,3/31/2023,Pegasus Logistics Group,Electronic,Yes,2,Yes,,,,Yes,,,,,
29319,3/31/2023,"Breckenridge IS, Inc.",Electronic,Yes,26,,,Yes,,Yes,,,,,
29320,3/31/2023,Massachusetts General Hospital,Paper,Yes,1,,Yes,,,,,,,,
29321,3/31/2023,"Uber Technologies, Inc.",Electronic,,131,Yes,,,,Yes,,,,,
29322,4/3/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29323,4/3/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29324,4/3/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29325,4/3/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29326,4/3/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29327,4/3/2023,"Elbit Systems of America, LLC",Electronic,Yes,1,Yes,,Yes,,Yes,,,,,
29328,4/3/2023,"Cornerstone Home Lending, a Division of Cornerstone Capital Bank, SSB",Electronic,,5,,Yes,,,Yes,,,,,
29329,4/3/2023,Baystate Medical Center,Paper,Yes,1,Yes,,,,Yes,,,,,
29330,4/3/2023,Penn Power Group,Electronic,Yes,20,Yes,,,,Yes,,,,,
29331,4/3/2023,Webster Five Cent Savings Bank,Electronic,,2,,,,Yes,,,,,,
29315,4/3/2023,The Village Bank,Electronic,,2,,,,Yes,,,,,,
29337,4/4/2023,Oklahoma City University,Electronic,,97,Yes,,,,Yes,,,,,
29338,4/4/2023,Highmark Health,Electronic,Yes,1015,Yes,,,,Yes,,,,,
29342,4/4/2023,Retirement Visions,Electronic,Yes,3,Yes,Yes,Yes,,Yes,,,,,
29343,4/4/2023,Hankins & Sohn Plastic Surgery Associates,Electronic,Yes,7,Yes,,Yes,,Yes,,,,,
29344,4/4/2023,"N.S. Info Holdings, LLC/ Information Clearinghouse LLC",Electronic,Yes,3,Yes,,,,Yes,,,,,
29345,4/4/2023,Watertown Savings Bank,Electronic,,179,,,,Yes,,,,,,
29346,4/4/2023,Aspire Public Schools,Electronic,Yes,13,Yes,Yes,,,Yes,,,,,
29348,4/5/2023,Atlas Real Estate Group LLC,Electronic,Yes,9,Yes,Yes,Yes,,Yes,,,,,
29349,4/5/2023,Quest Diagnostics,Paper,,4,Yes,,,,Yes,,,,,
29350,4/5/2023,Thayer Academy,Electronic,Yes,439,Yes,Yes,Yes,,Yes,,,,,
29339,4/5/2023,Salem Five Cents Savings Bank,Electronic,,2,,,,Yes,,,,,,
29340,4/5/2023,Castlight,Electronic,Yes,1,Yes,,,,Yes,,,,,
29341,4/5/2023,Energy Monster,Electronic,Yes,425,,,Yes,,Yes,,,,,
29352,4/5/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29353,4/6/2023,"American Express Travel Related Services Company, Inc.",Electronic,,4,,,,Yes,,,,,,
29354,4/6/2023,Altman Rogers & Co.,Electronic,Yes,3,Yes,Yes,,,Yes,,,,,
29351,4/6/2023,Fresh Del Monte Produce Inc.,Electronic,Yes,5,Yes,,Yes,,Yes,,,,,
29347,4/6/2023,Rockland Trust,Paper,Yes,2,,Yes,,,Yes,,,,,
29356,4/6/2023,"Cadwalader, Wickersham & Taft",Electronic,Yes,163,Yes,Yes,Yes,Yes,Yes,,,,,
29357,4/6/2023,Safe Steps Tubs Canada,Electronic,Yes,1,,,,Yes,Yes,,,,,
29358,4/6/2023,CommonSpirit Health,Electronic,Yes,1,Yes,,,,Yes,,,,,
29359,4/6/2023,Kilcoyne & Nesbitt LLC,Paper,,7,Yes,,,,Yes,,,,,
29360,4/6/2023,St. Mary¶s School for the Deaf,Electronic,Yes,1,Yes,,,,Yes,,,,,
29361,4/6/2023,Children's Medical Office of North Andover,Paper,Yes,51,,,,Yes,,,,,,
29365,4/7/2023,"Armstrong Transfer & Storage Co., Inc. dba The Armstrong Company",Electronic,Yes,25,Yes,,Yes,,Yes,,,,,
29366,4/7/2023,HawaiiUSA Federal Credit Union,Electronic,Yes,14,Yes,Yes,,Yes,Yes,,,,,
29367,4/7/2023,Baldor Specialty Foods,Electronic,Yes,832,Yes,,,,Yes,,,,,
29355,4/7/2023,PGT INNOVATIONS,Electronic,Yes,4,Yes,,,,Yes,,,,,
29364,4/9/2023,"Woodward Communications, Inc.",Electronic,Yes,14,Yes,,,,Yes,,,,,
29368,4/10/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29369,4/10/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29370,4/10/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29371,4/10/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29372,4/10/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29373,4/10/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29374,4/10/2023,"Harrington Raceway, Inc.",Electronic,Yes,9,Yes,,,,Yes,,,,,
29375,4/10/2023,"90 Degree Benefits, Inc. - Wisconsin",Electronic,Yes,806,Yes,,,,Yes,,,,,
29376,4/10/2023,"Brightline, Inc.",Electronic,,8513,Yes,,,,Yes,,,,,
29377,4/10/2023,"Flatirons Solutions, Inc.",Electronic,Yes,63,Yes,Yes,,,Yes,,,,,
29378,4/10/2023,"Webster Bank, NA",Electronic,,21052,Yes,Yes,,,Yes,,,,,
29379,4/10/2023,"Retina & Vitreous of Texas, PLLC",Electronic,Yes,4,,,,,,,,,,
29380,4/10/2023,Kendall Hunt Publishing Company,Electronic,Yes,2,Yes,,,,Yes,,,,,
29362,4/10/2023,Our Lady of the Lake University,Electronic,Yes,25,Yes,,Yes,,Yes,,,,,
29363,4/10/2023,"TIAA, FSB",Electronic,Yes,1,,Yes,,,Yes,,,,,
29381,4/11/2023,Mutual One Bank,Electronic,,1,,,,Yes,,,,,,
29382,4/11/2023,Main Street Bank,Electronic,,1,,Yes,,Yes,,,,,,
29383,4/11/2023,Bluestone Bank,Electronic,,193,,Yes,,Yes,,,,,,
