Assigned Breach Number,Date Reported To OCA,Organization Name,Breach Type Description,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen
3398,4/4/13,Pilgrim Bank,Electronic,,2,,,,Yes,,,
3860,4/4/13,80sTees.com,Electronic,,77,,,,Yes,,,
3861,4/8/13,Eighth Day Sound,Electronic,,14,Yes,Yes,,Yes,Yes,,Yes
3888,4/8/13,USAA Investment Management Company,Paper,,10,Yes,Yes,,,Yes,,
3889,4/8/13,"Ellison Systems, Inc - Shoplet.com",Electronic,,3275,,,,Yes,,,
3755,4/8/13,Computer Sciences Corporation,Electronic,,1112,Yes,,,,Yes,,Yes
3756,4/8/13,MetLife,Paper,,1,,Yes,Yes,,Yes,,
3525,4/8/13,Capital One,Electronic,,1,Yes,Yes,,,Yes,,
3563,4/8/13,"Ameriprise Financial, Inc.",Paper,,4,Yes,,,,Yes,,
3564,4/8/13,"Express, LLC",Paper,,2,Yes,,,,Yes,,
3568,4/8/13,St. Mary's Credit Union,Electronic,,33,,,,Yes,,,
4397,4/9/13,ING Americas,Paper,,1,,Yes,,,Yes,,
3797,4/10/13,The Commonwealth of MA - Office of Medicaid,Paper,,5,Yes,,,,,,
3877,4/10/13,Vanguard,Paper,,3,,Yes,,,,,
3570,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3571,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3572,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,12,,,,Yes,,,
3573,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,4,,,,Yes,,,
3574,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3575,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3576,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3577,4/10/13,The Cooperative Bank of Cape Cod,Undefined,,1,,Yes,,,,,
3578,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,,,,,Yes,,,
3579,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3580,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3581,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3582,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,Yes,,,,,
3583,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3584,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3585,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,2,,,,Yes,,,
3586,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,2,,,,Yes,,,
3587,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,4,,,,Yes,,,
3588,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,26,,,,Yes,,,
3589,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3590,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3591,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3592,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3593,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3594,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3595,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3596,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3597,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3598,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3599,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3600,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3601,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3602,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3603,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3604,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3605,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3606,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3607,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3608,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3609,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,Yes,,,,,
3610,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,Yes,,,,,
3611,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3612,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3613,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3614,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,Yes,,,,,
3615,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3616,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3617,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3618,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3619,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3620,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3621,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3622,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3623,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3624,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3625,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3626,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3627,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3628,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,4,,,,Yes,,,
3629,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,4,,,,Yes,,,
3630,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3631,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3632,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3633,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3634,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3635,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3636,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3637,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3638,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3639,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3640,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3641,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3642,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3643,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3644,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3645,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3646,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3647,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3648,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3649,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3650,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3651,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3652,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3653,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3654,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3655,4/10/13,The Cooperative Bank of Cape Cod,Electronic,,1,,,,Yes,,,
3815,4/11/13,The Commonwealth of MA - Department of Unemployment Assistance,Paper,,1,Yes,,,,,,
3511,4/12/13,Vanguard,Electronic,,19,Yes,Yes,,,,,
3467,4/12/13,Eastern Bank,Electronic,,1,,,,Yes,,,
3468,4/12/13,Eastern Bank,Electronic,,4,,,,Yes,,,
3469,4/12/13,Eastern Bank,Electronic,,7,,,,Yes,,,
3470,4/12/13,Eastern Bank,Electronic,,8,,,,Yes,,,
3471,4/12/13,Eastern Bank,Electronic,,1,,,,Yes,,,
3472,4/12/13,Eastern Bank,Electronic,,16,,,,Yes,,,
3473,4/12/13,Eastern Bank,Electronic,,2,,,,Yes,,,
3474,4/12/13,Eastern Bank,Electronic,,58,,,,Yes,,,
3475,4/12/13,Eastern Bank,Electronic,,3,,,,Yes,,,
3476,4/12/13,Eastern Bank,Electronic,,3,,,,Yes,,,
3477,4/12/13,Eastern Bank,Electronic,,2,,,,Yes,,,
3478,4/12/13,Eastern Bank,Electronic,,1,,,,Yes,,,
3479,4/12/13,Eastern Bank,Electronic,,1,,,,Yes,,,
3480,4/12/13,Eastern Bank,Electronic,,13,,,,Yes,,,
3481,4/12/13,Eastern Bank,Electronic,,27,,,,Yes,,,
3482,4/12/13,Eastern Bank,Electronic,,24,,,,Yes,,,
3483,4/12/13,Eastern Bank,Electronic,,4,,,,Yes,,,
3484,4/12/13,Eastern Bank,Electronic,,1,,,,Yes,,,
3485,4/12/13,Eastern Bank,Electronic,,1,,,,Yes,,,
3486,4/12/13,Eastern Bank,Electronic,,6,,,,Yes,,,
3367,4/15/13,American Express,Electronic,,431,,,,Yes,,,
3515,4/15/13,Fidelity Investments,Paper,,1,Yes,Yes,,,Yes,,
3506,4/16/13,Mutual One Bank,Electronic,,1,,,,Yes,,,
3552,4/16/13,Stoneham Savings,Electronic,,3,,,,Yes,,,
3538,4/16/13,Brigham and Women's Hospital,Paper,,2,,Yes,,,Yes,,
3738,4/16/13,Iberdrola USA,Electronic,,67,Yes,Yes,Yes,,Yes,,
3368,4/16/13,American Express,Electronic,,63,,,,Yes,,,
3385,4/16/13,Salem Five,Electronic,,1,,,,Yes,,,
3386,4/16/13,Salem Five,Electronic,,20,,,,Yes,,,
3387,4/16/13,Salem Five,Electronic,,1,,,,Yes,,,
3313,4/16/13,Bristol County Savings Bank,Paper,,2,,,,Yes,Yes,,
3906,4/16/13,Ernst & Young LLP,Paper,,2,Yes,,,,Yes,,
3907,4/16/13,HooperHolmes,Paper,,1,Yes,,Yes,,Yes,,
4814,4/16/13,Dead River Company,Electronic,,54,Yes,Yes,Yes,Yes,Yes,,
3297,4/17/13,American Express,Electronic,,6,,,,Yes,,,
3298,4/18/13,American Express,Electronic,,11,,,,Yes,,,
4847,4/18/13,Bridgewater Savings,Electronic,,1,,,,Yes,,,
3299,4/19/13,American Express,Electronic,,2,,,,Yes,,,
3905,4/20/13,TIAA CREF Financial Services,Undefined,,46,Yes,,,,Yes,,
3897,4/22/13,Quest Diagnostics,Paper,,19,Yes,,,,Yes,,
3898,4/22/13,Greylock Federal Credit Union,Paper,,1,Yes,Yes,,,Yes,,
3309,4/22/13,Adams Community Bank,Electronic,,2,,,,Yes,,,
3314,4/22/13,Bristol County Savings Bank,Electronic,,5,,,,Yes,,,
3389,4/22/13,Marlborough Savings Bank,Electronic,,7,,,,Yes,,,
3370,4/22/13,Bristol County Savings Bank,Electronic,,5,,,,Yes,,,
3539,4/22/13,Brigham and Women's Hospital,Paper,,1,Yes,Yes,,,Yes,,
3394,4/22/13,TD Bank,Electronic,,11,Yes,,,Yes,Yes,,
3520,4/22/13,Metropolitan Life Insurance Company,Electronic,,1,,Yes,,,Yes,,
3524,4/23/13,Capital One,Paper,,13,Yes,,,,Yes,,
3375,4/23/13,Newburyport Five Cents Savings Bank,Electronic,,2,,,,Yes,,,
3390,4/23/13,Marlborough Savings Bank,Electronic,,1,,,,Yes,,,
3329,4/23/13,Eagle Bank,Electronic,,3,,,,Yes,,,
3890,4/23/13,Bank of America,Electronic,,180,Yes,,,,Yes,,
3862,4/24/13,State Street Bank and Trust Company,Electronic,,3,Yes,,,,Yes,,
3816,4/24/13,Green Tree Servicing LLC,Electronic,,484,Yes,,,,Yes,,
4114,4/24/13,Abington Bank,Electronic,,1,,,,Yes,,,
4382,4/24/13,"Gary R. Login, DMD",Electronic,,1,Yes,,,,,,
4927,4/24/13,AbingtonBank,Electronic,,1,,,,Yes,,,
3876,4/25/13,Internap Network Service Corporation,Electronic,,66,,,,Yes,,,
3417,4/25/13,Discover Financial Services,Electronic,,33,,,,Yes,,,
3418,4/25/13,Discover Financial Services,Electronic,,1,,,,Yes,,,
3419,4/25/13,Discover Financial Services,Electronic,,23,,,,Yes,,,
3420,4/25/13,Discover Financial Services,Electronic,,378,,,,Yes,,,
3310,4/25/13,Adams Community Bank,Electronic,,1,,,,Yes,,,
3300,4/25/13,American Express,Electronic,,3,,,,Yes,,,
3301,4/25/13,American Express,Electronic,,40,,,,Yes,,,
3302,4/25/13,American Express,Electronic,,,,,,Yes,,,
3303,4/25/13,American Express,Electronic,,39,,,,Yes,,,
3540,4/25/13,Brigham and Women's Hospital,Paper,,1,Yes,,,,Yes,,
3544,4/25/13,Massachusetts General Hospital,Paper,,3,,Yes,,,,,
3320,4/26/13,Savers Bank,Electronic,,1,,,,Yes,,,
4383,4/26/13,Iron Horse Bicycle Classic,Electronic,,3,,,,Yes,,,
4384,4/26/13,"Charter Communications, Inc.",Paper,,2,,,,Yes,,,
3378,4/29/13,Peoples Bank,Electronic,,16,,,,Yes,,,
3395,4/29/13,TD Bank,Electronic,,2,Yes,Yes,,,Yes,,
3550,4/30/13,The Prudential Insurance Company of America,Electronic,,2,Yes,,,,Yes,,
3891,4/30/13,"DMG Information, Inc.",Paper,,25,Yes,,,,,,
3908,5/1/13,TeleTech,Electronic,,2,,,,Yes,,,
3909,5/1/13,"NE Moves Mortgage, LLC",Both,,9,Yes,,,,Yes,Yes,Yes
4385,5/2/13,Northwestern Mutual Life Insurance Company,Both,,8,,Yes,,,Yes,,Yes
3541,5/2/13,Brigham and Women's Hospital,Paper,,1,,Yes,,,Yes,,
3696,5/3/13,One Main Financial,Electronic,,1,,,,Yes,Yes,,
3668,5/6/13,Rockland Trust,Electronic,,1,,Yes,,,,,
3669,5/6/13,Rockland Trust,Paper,,1,,Yes,,,,,
3670,5/6/13,Rockland Trust,Paper,,1,,Yes,,,,,
3671,5/6/13,Rockland Trust,Electronic,,1,,Yes,,,,,
3672,5/6/13,Rockland Trust,Undefined,,1,,Yes,,,,,
3673,5/6/13,Rockland Trust,Electronic,,2,,,,Yes,,,
3674,5/6/13,Rockland Trust,Electronic,,3,,,,Yes,,,
3675,5/6/13,Rockland Trust,Electronic,,1,,,,Yes,,,
3676,5/6/13,Rockland Trust,Electronic,,8,,,,Yes,,,
3677,5/6/13,Rockland Trust,Electronic,,12,,,,Yes,,,
3678,5/6/13,Rockland Trust,Electronic,,8,,,,Yes,,,
3679,5/6/13,Rockland Trust,Electronic,,1,,,,Yes,,,
3680,5/6/13,Rockland Trust,Electronic,,50,,,,Yes,,,
3681,5/6/13,Rockland Trust,Electronic,,148,,,,Yes,,,
3682,5/6/13,Rockland Trust,Electronic,,10,,,,Yes,,,
3683,5/6/13,Rockland Trust,Electronic,,1,,,,Yes,,,
3684,5/6/13,Rockland Trust,Electronic,,1,,,,Yes,,,
3685,5/6/13,Rockland Trust,Electronic,,1,,,,Yes,,,
3686,5/6/13,Rockland Trust,Electronic,,8,,,,Yes,,,
3687,5/6/13,Rockland Trust,Electronic,,48,,,,Yes,,,
3688,5/6/13,Rockland Trust,Electronic,,12,,,,Yes,,,
3689,5/6/13,Rockland Trust,Electronic,,1,,,,Yes,,,
3690,5/6/13,Rockland Trust,Electronic,,4,,,,Yes,,,
3691,5/6/13,Rockland Trust,Electronic,,6,,,,Yes,,,
3692,5/6/13,Rockland Trust,Electronic,,56,,,,Yes,,,
3545,5/6/13,Massachusetts General Hospital,Paper,,1,,Yes,,,,,
3321,5/6/13,Savers Bank,Electronic,,1,,,,Yes,,,
3322,5/6/13,Savers Bank,Electronic,,1,,,,Yes,,,
3315,5/6/13,Bristol County Savings Bank,Electronic,,1,,,,Yes,,,
3316,5/6/13,Bristol County Savings Bank,Electronic,,2,,,,Yes,,,
3304,5/6/13,American Express,Electronic,,18,,,,Yes,,,
3305,5/6/13,American Express,Electronic,,16,,,,Yes,,,
3904,5/6/13,Saint Vincent Hospital,Both,,1,Yes,,,,,,
3957,5/6/13,Adams Community Bank,Electronic,,1,,,,Yes,,,
3882,5/6/13,The Commonwealth of MA - DOR,Paper,,1,Yes,,,,,,
3883,5/6/13,"WorldVentures Marketing, LLC",Electronic,,86,,,,Yes,,,
3884,5/6/13,First National Bank of Southern California,Electronic,,2,Yes,Yes,,,Yes,,Yes
3885,5/6/13,"ThyssenKrupp OnlineMetals, LLC",Electronic,,37,,,,Yes,,,
4110,5/6/13,Peoples Bank of Commerce,Electronic,,7,Yes,Yes,,,Yes,,Yes
4689,5/6/13,American Express Company,Electronic,,46,,,,Yes,,,
3863,5/7/13,HIS Inc.,Electronic,,91,,,,Yes,,,
3330,5/7/13,Eagle Bank,Electronic,,1,,,,Yes,,,
3391,5/7/13,Marlborough Savings Bank,Electronic,,,,,,Yes,,,
3369,5/7/13,American Express,Electronic,,207,,,,Yes,,,
3542,5/7/13,Brigham and Women's Hospital,Paper,,1,Yes,Yes,,,Yes,,
3798,5/8/13,"Mercer HR Services, LLC",Electronic,,1,,Yes,,,,,
4092,5/8/13,Fidelity Investments,Electronic,,1,,Yes,,,Yes,,
14196,5/8/13,El Centro Regional Medical Center,Paper,,,Yes,,,,,,
4525,5/8/13,Department of Public Safety,Paper,,1400,Yes,,Yes,,,,
3806,5/9/13,"HSBC Bank USA, NA",Paper,,2,Yes,Yes,,,Yes,,
3503,5/9/13,Mutual One Bank,Electronic,,1,,,,Yes,,,
3504,5/9/13,Mutual One Bank,Electronic,,1,,,,Yes,,,
3805,5/10/13,"NTT Docomo USA, Inc.",Electronic,,27,,,,Yes,,,
3804,5/13/13,Advocates Inc.,Both,,1,Yes,,,,Yes,,
3757,5/13/13,American Express,Electronic,,154,,,,Yes,,,
3551,5/13/13,Newburyport Five Cents Savings Bank,Electronic,,1,,,,Yes,Yes,,
3487,5/13/13,Eastern Bank,Electronic,,3,,,,Yes,,,
3488,5/13/13,Eastern Bank,Electronic,,1,,,,Yes,,,
3489,5/13/13,Eastern Bank,Electronic,,7,,,,Yes,,,
3490,5/13/13,Eastern Bank,Electronic,,9,,,,Yes,,,
3491,5/13/13,Eastern Bank,Electronic,,166,,,,Yes,,,
3492,5/13/13,Eastern Bank,Electronic,,1,,,,Yes,,,
3493,5/13/13,Eastern Bank,Electronic,,1,,,,Yes,,,
3494,5/13/13,Eastern Bank,Electronic,,2,,,,Yes,,,
3495,5/13/13,Eastern Bank,Electronic,,1,,,,Yes,,,
3496,5/13/13,Eastern Bank,Electronic,,2,,,,Yes,,,
3497,5/13/13,Eastern Bank,Electronic,,1,,,,Yes,,,
3498,5/13/13,Eastern Bank,Electronic,,6,,,,Yes,,,
3499,5/13/13,Eastern Bank,Electronic,,6,,,,Yes,,,
3500,5/13/13,Eastern Bank,Electronic,,1,,,,Yes,,,
3501,5/13/13,Eastern Bank,Electronic,,36,,,,Yes,,,
3502,5/13/13,Eastern Bank,Electronic,,23,,,,Yes,,,
3799,5/14/13,"Ogletree, Deakins, Nash, Smoak & Stewart, P.C.",Paper,,3,Yes,,,,Yes,,
3758,5/15/13,American Express,Electronic,,1212,,,,Yes,,,
4848,5/15/13,Pilgrim Bank,Electronic,,1,,,,Yes,,,
3759,5/16/13,Massachusetts General Hospital,Paper,,4,,Yes,,,,,
3795,5/17/13,Brigham and Women's Hospital,Electronic,,1,,Yes,,,,,
3750,5/17/13,Knology,Electronic,,1,Yes,Yes,,Yes,Yes,,
3748,5/17/13,Oppenheimer Funds,Paper,,1,Yes,,,,Yes,,
3749,5/20/13,TD Bank,Electronic,,86,,,,Yes,Yes,,
3747,5/20/13,Mortgage Guaranty Insurance Corporation,Paper,,16,,Yes,,,,,
3796,5/20/13,Thomson Reutes,Paper,,1,Yes,,,,,,
3697,5/21/13,HealthMarkets,Electronic,,181,Yes,,,,,,
3569,5/21/13,St. Mary's Credit Union,Electronic,,15,,,,Yes,,,
3308,5/22/13,Adams Community Bank,Electronic,,1,,,,Yes,,,
3793,5/22/13,"HSBC Bank USA, N.A.",Electronic,,2,Yes,Yes,Yes,,Yes,,
3794,5/22/13,Prudential Insurance Company of America,Paper,,1,Yes,Yes,,,Yes,,
4381,5/22/13,PHH Corporation,Electronic,,418,Yes,,,,Yes,,
4377,5/22/13,The Commonwealth of MA - DOR,Paper,,1,Yes,Yes,,,,,
4376,5/23/13,Brigham and Women's Hospital,Electronic,,1,Yes,Yes,,,Yes,,
3958,5/28/13,Adams Community Bank,Electronic,,1,,,,Yes,,,
3966,5/28/13,"Citibank, N.A.",Paper,,10,,Yes,,,Yes,,
4064,5/28/13,Discover,Electronic,,2,,,,Yes,,,
4065,5/28/13,Discover,Electronic,,1,,,,Yes,,,
4066,5/28/13,Discover,Electronic,,2,,,,Yes,,,
4067,5/28/13,Discover,Electronic,,2,,,,Yes,,,
4068,5/28/13,Discover,Electronic,,2,,,,Yes,,,
4069,5/28/13,Discover,Electronic,,1,,,,Yes,,,
4070,5/28/13,Discover,Electronic,,1,,,,Yes,,,
4071,5/28/13,Discover,Electronic,,1,,,,Yes,,,
4072,5/28/13,Discover,Electronic,,2,,,,Yes,,,
4073,5/28/13,Discover,Electronic,,1,,,,Yes,,,
4074,5/28/13,Discover,Electronic,,1,,,,Yes,,,
4075,5/28/13,Discover,Electronic,,1,,,,Yes,,,
4076,5/28/13,Discover,Electronic,,2,,,,Yes,,,
4077,5/28/13,Discover,Electronic,,2,,,,Yes,,,
4078,5/28/13,Discover,Electronic,,2,,,,Yes,,,
4079,5/28/13,Discover,Electronic,,1,,,,Yes,,,
4080,5/28/13,Discover,Electronic,,1,,,,Yes,,,
4081,5/28/13,Discover,Electronic,,1,,,,Yes,,,
4082,5/28/13,Discover,Electronic,,74,,,,Yes,,,
4083,5/28/13,Discover,Electronic,,171,,,,Yes,,,
4084,5/28/13,Discover,Electronic,,1,,,,Yes,,,
4085,5/28/13,Discover,Electronic,,15,,,,Yes,,,
4086,5/28/13,Discover,Electronic,,9,,,,Yes,,,
3694,5/28/13,"Beachbody, LLC",Electronic,,757,,,,Yes,,,
3743,5/28/13,American Express,Electronic,,1,,,,Yes,,,
4846,5/28/13,Bridgewater Savings,Electronic,,1,,,,Yes,,,
4561,5/28/13,JL Design Enterprises,Electronic,,1,,,,Yes,,,
4562,5/28/13,Boston Health Care for the Homless Program,Paper,,6,Yes,,,,Yes,,
4563,5/28/13,New York Life Insurance Company,Paper,,2,Yes,Yes,Yes,,Yes,,
4566,5/29/13,Piedmont HealthCare P.A.,Electronic,,8,Yes,,Yes,,Yes,,
4567,5/29/13,AHW LLC,Electronic,,211,,,,Yes,Yes,,
14225,5/29/13,Citibank N.A.,Paper,Yes,1,Yes,,,,Yes,,
14195,5/30/13,South Orange Performing Arts Center,Electronic,,6,,,,Yes,,,
4564,5/30/13,"TJG, Inc. dba Target Marketing",Electronic,,5,,,,Yes,,,
4565,5/30/13,Shumsky Promotional Agency,Electronic,,7,,,,Yes,,,
3693,5/30/13,Rosewood Inn of the Anasazi,Electronic,,104,,,,Yes,Yes,,
3695,5/31/13,Godiva,Electronic,,824,Yes,,,,,,Yes
3739,6/3/13,Champlain College,Electronic,,2908,Yes,,,,Yes,,Yes
3807,6/3/13,"Edaron, Inc.",Electronic,,50,,Yes,,,Yes,,
3858,6/3/13,Fallon Community Health Plan,Paper,,74,Yes,Yes,,,Yes,,Yes
3808,6/4/13,"RBS Citizens Financial Group, Inc.",Paper,,1,,Yes,,,,,
3810,6/4/13,"Goldner Associates, Inc.",Electronic,,7,,,,Yes,,,
3953,6/4/13,MutualOne Bank,Electronic,,3,,,,Yes,,,
3712,6/4/13,Rockland Trust,Electronic,,1,,Yes,,,,,
3720,6/4/13,Rockland Trust,Electronic,,1,Yes,Yes,,,Yes,,
3721,6/4/13,Rockland Trust,Electronic,,10,,,,Yes,,,
3722,6/4/13,Rockland Trust,Electronic,,2,,,,Yes,,,
3723,6/4/13,Rockland Trust,Electronic,,1,,,,Yes,,,
3724,6/4/13,Rockland Trust,Electronic,,9,,,,Yes,,,
3725,6/4/13,Rockland Trust,Electronic,,15,,,,Yes,,,
3726,6/4/13,Rockland Trust,Electronic,,2,,,,Yes,,,
3727,6/4/13,Rockland Trust,Electronic,,15,,,,Yes,,,
3728,6/4/13,Rockland Trust,Electronic,,1,,,,Yes,,,
3729,6/4/13,Rockland Trust,Electronic,,7,,,,Yes,,,
3730,6/4/13,Rockland Trust,Electronic,,5,,,,Yes,,,
3731,6/4/13,Rockland Trust,Electronic,,1,,,,Yes,,,
3732,6/4/13,Rockland Trust,Electronic,,1,,,,Yes,,,
3733,6/4/13,Rockland Trust,Electronic,,2,,,,Yes,,,
3734,6/4/13,Rockland Trust,Electronic,,1,,,,Yes,,,
3735,6/4/13,Rockland Trust,Electronic,,34,,,,Yes,,,
3809,6/5/13,"Vendini, Inc.",Electronic,,,,,,Yes,,,
4568,6/5/13,Automatic Data Processing,Electronic,,206,Yes,,,,,,
4579,6/5/13,Brigham and Women's Hospital,Both,,1,,Yes,,,Yes,,
4576,6/6/13,"RentPath, Inc. (Primedia, Inc)",Electronic,,320,Yes,,,,Yes,,Yes
4569,6/6/13,Executive Office of Health and Human Services - Medicaid,Paper,,1,Yes,,,,,,
4523,6/6/13,Toyota Motor Credit Corporation,Electronic,,1,,Yes,,,Yes,,
4524,6/6/13,Toyota Motor Credit Corporation,Paper,,1,,Yes,,,Yes,,
14432,6/6/13,TD Bank,Electronic,Yes,2,,,,Yes,Yes,,
3969,6/6/13,St Mary's Credit Union,Electronic,,6,,,,Yes,,,
3744,6/6/13,American Express,Electronic,,2,,,,Yes,,,
3745,6/6/13,American Express,Electronic,,36,,,,Yes,,,
3766,6/6/13,Webster Five Cents Savings Bank,Electronic,,1,,,,Yes,,,
3767,6/6/13,Webster Five Cents Savings Bank,Electronic,,2,,,,Yes,,,
3768,6/6/13,Webster Five Cents Savings Bank,Electronic,,4,,,,Yes,,,
3769,6/6/13,Webster Five Cents Savings Bank,Electronic,,1,,,,Yes,,,
3770,6/6/13,Webster Five Cents Savings Bank,Electronic,,1,,,,Yes,,,
3771,6/6/13,Webster Five Cents Savings Bank,Electronic,,15,,,,Yes,,,
3772,6/6/13,Webster Five Cents Savings Bank,Electronic,,2,,,,Yes,,,
3773,6/6/13,Webster Five Cents Savings Bank,Electronic,,3,,,,Yes,,,
